Designator,Mid X,Mid Y,Layer,Rotation
C1,182.5625,-64.90335,bottom,270
C2,191.29375,-64.90335,bottom,90
C3,182.5625,-89.69375,bottom,0
C4,171.45,-80.9625,bottom,270
C5,173.83125,-80.9625,bottom,270
C6,169.06875,-80.9625,bottom,270
C7,176.2125,-80.9625,bottom,270
D1,215.9,-65.0875,bottom,90
D2,234.95,-65.0875,bottom,90
D3,215.9,-84.1375,bottom,90
D4,234.95,-84.1375,bottom,90
F1,169.06875,-68.2625,bottom,90
R1,196.05625,-73.81875,bottom,90
R2,174.625,-67.46875,bottom,90
R3,172.24375,-67.46875,bottom,90
R4,190.5,-89.69375,bottom,0
SW1,172.24375,-89.69375,bottom,0
U1,186.53125,-76.2,bottom,0
USB1,173.83125,-57.15,bottom,270
Y1,187.15355,-64.90335,bottom,0
